Drug1_name,Drug1_ID,Chem_formula1,Drug2_name,drug2_Id,Chem_formula2,Severity,Interaction,Drug1_Description,Drug2_Description
Dabigatran etexilate ,DB06695,C34H41N7O5,Acemetacin,DB13783,C21H18ClNO6,MINOR,1,Dabigatran etexilate is an anticoagulant used for the prevention of venous thromboembolic events or stroke in patients with recent elective hip or knee replacement surgery and atrial fibrillation.,Acemetacin is a NSAID indicated in the treatment of pain and inflammation.
Dabigatran etexilate ,DB06695,C34H41N7O5,Apixaban,DB06605,C25H25N5O4,MAJOR,0,Dabigatran etexilate is an anticoagulant used for the prevention of venous thromboembolic events or stroke in patients with recent elective hip or knee replacement surgery and atrial fibrillation.,"Apixaban is an anticoagulant used for the prophylaxis of stroke and systemic embolism in nonvalvular atrial fibrillation, and deep vein thrombosis(DVT) leading to pulmonary embolism(PE), including in patients after a hip or knee replacement surgery."
Dabigatran etexilate ,DB06695,C34H41N7O5,Bivalirudin,DB00006,C98H138N24O33,MAJOR,0,Dabigatran etexilate is an anticoagulant used for the prevention of venous thromboembolic events or stroke in patients with recent elective hip or knee replacement surgery and atrial fibrillation.,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Bivalirudin,DB00006,C98H138N24O33,Apixaban,DB06605,C25H25N5O4,MAJOR,0,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,"Apixaban is an anticoagulant used for the prophylaxis of stroke and systemic embolism in nonvalvular atrial fibrillation, and deep vein thrombosis(DVT) leading to pulmonary embolism(PE), including in patients after a hip or knee replacement surgery."
Acemetacin,DB13783,C21H18ClNO6,Apixaban,DB06605,C25H25N5O4,MINOR,1,Acemetacin is a NSAID indicated in the treatment of pain and inflammation.,"Apixaban is an anticoagulant used for the prophylaxis of stroke and systemic embolism in nonvalvular atrial fibrillation, and deep vein thrombosis(DVT) leading to pulmonary embolism(PE), including in patients after a hip or knee replacement surgery."
Acemetacin,DB13783,C21H18ClNO6,Bivalirudin,DB00006,C98H138N24O33,MINOR,1,Acemetacin is a NSAID indicated in the treatment of pain and inflammation.,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Vorapaxar,DB09030,C29H33FN2O4,Rivaroxaban,DB06228,C19H18ClN3O5S,MAJOR,0,Vorapaxar is a platelet aggregation inhibitor used to reduce thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD).,Rivaroxaban is a factor Xa inhibitor used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). May also be used as thrombosis prophylaxis in specific situations.
Bivalirudin,DB00006,C98H138N24O33,Rivaroxaban,DB06228,C19H18ClN3O5S,MAJOR,0,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Rivaroxaban is a factor Xa inhibitor used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). May also be used as thrombosis prophylaxis in specific situations.
Edoxaban,DB09075,C24H30ClN7O4S,Vorapaxar,DB09030,C29H33FN2O4,MAJOR,0,Edoxaban is a novel oral anticoagulant used for reducing the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF).,Vorapaxar is a platelet aggregation inhibitor used to reduce thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD).
Vorapaxar,DB09030,C29H33FN2O4,Bivalirudin,DB00006,C98H138N24O33,MAJOR,0,Vorapaxar is a platelet aggregation inhibitor used to reduce thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD).,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
